variant,arm,days,total_cost_eur,peak_import_mw,throughput_mwh,curtailed_mwh,wholesale_cost_eur,mean_solve_s,soc_settlement_eur,terminal_soc_mwh,saving_eur,saving_pct,saving_pct_wholesale,value_captured_pct
degradation 2 EUR/MWh,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.3675747323323506
degradation 2 EUR/MWh,forecast,60,94815.2247064538,1.1431826665971025,66.97868269893628,0.0,31051.82686298197,0.0234137866658178,1.3646496213750114e-13,0.4999999999999981,232.3017409062013,0.2444058773426961,0.734378508565313,40.80051528073701
degradation 2 EUR/MWh,perfect foresight,60,94478.1666260249,1.1498016315789463,93.68637053031419,0.0,30568.07677740053,0.021742168332518002,7.22461564257359e-14,0.499999999999999,569.3598213350924,0.5990264477323562,1.7999245928936398,100.0
degradation 5 EUR/MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.02525997499881972,-0.0,0.5,0.0,0.0,0.0,0.0
degradation 5 EUR/MWh,rule-based,60,95040.88002630736,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,6.646421052631922,0.006992734373064298,0.021011417137419438,1.9807196045138682
degradation 5 EUR/MWh,forecast,60,94992.168520716,1.0778326315789468,31.878824902095875,0.0,31319.671264960358,0.022489206666553702,3.210940285588262e-14,0.49999999999999956,55.35792664399196,0.05824236433406896,0.17500373198880992,16.497379522107714
degradation 5 EUR/MWh,perfect foresight,60,94711.97056971405,1.1422726315789467,63.138805165397926,0.0,30775.476859524504,0.02178895166653092,5.6191454997794586e-14,0.4999999999999992,335.5558776459511,0.3530400949800534,1.060797151173566,100.0
degradation 10 EUR/MWh,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.022573369999736314,-0.0,0.5,0.0,0.0,0.0,0.0
degradation 10 EUR/MWh,rule-based,60,95042.78002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,4.746421052623191,0.00499373442953499,0.015004922477338917,4.047549819936761
degradation 10 EUR/MWh,forecast,60,95047.63279895279,0.967216,1.923739131925289,0.0,31608.169267348632,0.02219820333290651,4.013675356985327e-15,0.49999999999999994,-0.1063515927962726,-0.00011189306736474947,-0.00033621067064154407,-0.09069220060757946
degradation 10 EUR/MWh,perfect foresight,60,94930.25992159065,1.1127546315789472,28.569977294360484,0.0,31137.186188859174,0.021313971667404986,2.0068376784926637e-14,0.4999999999999997,117.2665257693443,0.12337672546827383,0.3707161899139602,100.0
demand charge 0 EUR/MW,no battery,60,94783.82183736,0.967216,0.0,0.0,31632.42635736,0.02253288999927463,-0.0,0.5,0.0,0.0,0.0,0.0
demand charge 0 EUR/MW,rule-based,60,94776.03541630736,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.0082149262413074,0.02461531393344935,1.2870127913837304
demand charge 0 EUR/MW,forecast,60,94529.48607655668,1.3064859999999998,73.76271814404433,0.0,31003.752071625928,0.021844586666702526,1.605470142794131e-14,0.4999999999999998,254.33576080331113,0.2683324599842862,0.8040349416450444,42.039002931848295
demand charge 0 EUR/MW,perfect foresight,60,94178.82232960376,1.3746250000000002,97.99192520775624,0.0,30530.127486722882,0.021820220001488148,3.210940285588262e-14,0.49999999999999956,604.9995077562344,0.6382940632994899,1.9125927961434028,100.0
demand charge 5 EUR/MW,no battery,60,95047.52644736,0.967216,0.0,0.0,31632.42635736,0.021926386666746112,-0.0,0.5,0.0,0.0,0.0,0.0
demand charge 5 EUR/MW,rule-based,60,95039.74002630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.008192134339175759,0.02461531393344935,1.3675747323323506
demand charge 5 EUR/MW,forecast,60,94815.2247064538,1.1431826665971025,66.97868269893628,0.0,31051.82686298197,0.022155448333069216,1.3646496213750114e-13,0.4999999999999981,232.3017409062013,0.2444058773426961,0.734378508565313,40.80051528073701
demand charge 5 EUR/MW,perfect foresight,60,94478.1666260249,1.1498016315789463,93.68637053031419,0.0,30568.07677740053,0.021298643333526948,7.22461564257359e-14,0.499999999999999,569.3598213350924,0.5990264477323562,1.7999245928936398,100.0
demand charge 50 EUR/MW,no battery,60,97420.86793736,0.967216,0.0,0.0,31632.42635736,0.02264421000145376,-0.0,0.5,0.0,0.0,0.0,0.0
demand charge 50 EUR/MW,rule-based,60,97413.08151630737,0.967216,0.38,0.0,31617.75835736,0.0,28.921578947368424,0.1,7.78642105263134,0.007992559723074813,0.02461531393344935,1.1566454602833656
demand charge 50 EUR/MW,forecast,60,97015.78292568104,0.915251,62.514528393988485,0.0,31127.71640458547,0.02459128833312813,-1.166394127116721e-12,0.5000000000000179,405.0850116789661,0.41580928219550356,1.280600505009044,60.17395368427606
demand charge 50 EUR/MW,perfect foresight,60,96747.67798244298,0.9224089999999999,84.88770387914033,0.0,30763.612435737534,0.021865810000599596,-4.49170409200228e-13,0.5000000000000069,673.1899549170193,0.6910120687385677,2.128164141794916,100.0
